Name
genistein
equol
daidzein
formononetin
4-n-octylphenol
o,p'-dde
bis(2-ethylhexyl)phthalate
a-zearalanol
quercetin
fisetin
flavanone
hesperetin
triphenylethylene
4,4'-methylenebis(n,n-dimethylaniline)
catechin
flavone
genistin
hpte
rutin
6-hydroxyflavone
7-hydroxyflavone
epitestesterone
aldrin
2-sec-butylphenol
4-sec-butylphenol
sec-butylbenzene
diethyl phthalate
p,p'-methoxychlor
chlordane
2,4,5-t
mirex
heptachlor
o,p'-ddd
prometon
simazine
6-hydroxy-2'-methoxyflavone
3'-hydroxyflavanone
o,p'-ddt
hexachlorobenzene
p,p'-ddd
p,p'-dde
p,p'-ddt
2,3,4,5-tetrachloro-4'-biphenylol
2,5-dichloro-4'-biphenylol
3,3',5,5'-tetrachloro-4,4'-biphenyldiol
2-chloro-4-biphenylol
4-chloro-4'-biphenylol
4-tert-butylphenol
atrazine
endosulfan, technical grade
kepone
lindane (gama-hch)
4-t-octylphenol
vinclozolin
diethylstilbestrol (des)
bisphenol a
dihydrotestosterone
17b-estradiol (e2)
estriol
estrone
ethynylestradiol
ici 182780
progesterone
testosterone
2-oh-estradiol
nonylphenol
4-oh-estradiol
moxestrol
ici 164384
17a-estradiol
3a-androstanediol
3-b-androstanediol
butylbenzylphthalate
hexestrol
dienestrol
tamoxifen
4-oh-tamoxifen
clomiphene
nafoxidine
aurin
di-n-butyl phthalate (dbup)
baicalein
mestranol
apigenin
naringenin
phloretin
biochanin a
zearalanone
chrysin
kaempferol
morin
coumestrol
myricetin
cholesterol
zearalenol
2,2'-dihydroxy-4-methoxy-benzophenone
2,2'-dihydroxy-benzophenone
2-oh-4-methoxy-benzophenone
2,4-hydroxybenzophenone
phenolphthalein
phenol red
4,4'-sulfonyldiphenol
alachlor
4,4'-methylenebis(2,6-di-t-butylphenol)
4,4'-diaminostilbene
isoeugenol
suberic acid
1,6-dimethylnaphthalene
1,8-octanediol
4-amino butylbenzoate
vanillin
aldosterone
dopamine
melatonin
4,4'-methylenedianiline
2-chlorophenol
dieldrin
4,4'-dihydoxy-benzophenone
2,4-d (2,4-dichlorophenoxyacetic acid)
4-aminophenyl ether
dibenzo-18-crown-6
6-hydroxyflavanone
7-hydroxyflavanone
amaranth
chrysene
carbaryl
carbofuran
2,2'-methylenebis(4-chlorophenol)
diphenolic acid
nordihydroguaiaretic acid
2-hydroxy biphenyl
phenolphthalin
4-hydroxybiphenyl
droloxifene
bisphenol b
toremifene
4-tert-amylphenol
bis(4-hydroxyphenyl)methane
bis(2-hydroxyphenyl)methane
4-ethylphenol
metolachlor
phenol
taxifolin
3',4',7-trihydroxy isoflavone
4',6,7-trihydroxy isoflavone
4-hydroxychalcone
bis(n-octyl) phthalate
dimethyl phthalate
4-chloro-3-methylphenol
4-cresol
4'-hydroxychalcone
trans,trans-1,4-diphenyl-1,3-butadiene
4-phenethylphenol
4,4'-(1,2-ethanediyl)bisphenol
3-phenylphenol
eugenol
trans-4-hydroxystilbene
4,4'-dihydroxystilbene
2',4,4'-trihydroxychalcone
4',6-dihydroxyflavone
dimethylstilbestrol
monomethyl ether diethylstilbestrol
3-deoxyestradiol
17-deoxyestradiol
n-butylbenzene
dexamethasone
corticosterone
caffeine
triphenyl phosphate
2,3-benzofluorene
naringin
2-ethylphenol
3-ethylphenol
sitosterol
monohydroxymethoxychlor
4-heptyloxyphenol
monohydroxymethoxychlor olefin
dihydroxymethoxychlor olefin
di(2-ethylhexyl) adipate
4'-hydroxyflavanone
17b-hydroxyetiocholan-3-one
cinnamic acid
benzylalcohol
heptaldehyde
hexyl alcohol
nerolidol
diethylstilbestrol dimethyl ether
3-oh-estra-1,3,5(10)-trien-16-one
doisynoestrol
monomethyl ether hexestrol
3-deoxy-estrone
3-methyl-estriol
16b-oh-16-methyl-3-methyl-estradiol
3-(p-phenol)-4-(p-tolyl)-hexane
2,2',4,4'-tetrahydroxybenzil
3,3'-dihydroxyhexestrol
2,6-dimethyl hexestrol
4-ethyl-7-oh-3-(p-methoxyphenyl)coumarin
a,a-dimethyl-b-ethyl allenolic acid
4-(benzyloxyl)phenol
4-dodecylphenol
n-butyl 4-hydroxybenzoate
4-chloro-2-methyl phenol
2,4'-dichlorobiphenyl
2-cholor-4-methyl phenol
2,2',4,4'-tetrachlorobiphenyl
3,3',4,4'-tetrachlorobiphenyl
4,4'-dichlorobiphenyl
6a-oh-estradiol
norethynodrel
p,p'-methoxychlor olefin
folic acid
ethyl cinnamate
diisononylphthalate
di-i-butyl phthalate (dibp)
heptyl p-hydroxybenzoate
thalidomide
2-ethylhexyl-4-hydroxybenzoate
benzyl 4-hydroxybenzoate
n-propyl 4-hydroxybenzoate
ethyl 4-hydroxybenzoate
methyl 4-hydroxybenzoate
prunetin
chalcone
b-zearalanol
b-zearalenol
2-furaldehyde
cineole
p-cumyl phenol
1,3-diphenyltetramethyldisiloxane
1,3-dibenzyltetramethyldisiloxane
3,6,4'-trihydroxyflavone
